id|name
2237571|Bus 250: Stenzengreith Kreuzwirt => St. Radegund Postamt
2238371|Bus 260: Graz Andreas-Hofer-Platz/Joanneumsviertel => Garrach Ort
2238373|Bus 260: Kumberg Kumbergbrücke => Graz Andreas-Hofer-Platz/Joanneumsviertel
2238375|Bus 260: Kainberg Schloss => Meierhöfen Kapelle
2261298|Bus 270: Eggersdorf bei Graz Schule => Wollsdorf bei Kumberg Bachwirt
2261300|Bus 270: Eggersdorf bei Graz Zentrum => Faßlberg Ort
2261302|Bus 270: Eggersdorf bei Graz Zentrum => Graz Andreas-Hofer-Platz/Joanneumsviertel
2261305|Bus 270: Faßlberg Ort => Eggersdorf bei Graz Zentrum (via Eggersdorf bei Graz Schule)
2261307|Bus 270: Faßlberg Ort => Stuhlsdorf
2261309|Bus 270: Gleisdorf Postamt => Graz Andreas-Hofer-Platz/Joanneumsviertel
2261311|Bus 270: Graz Jakominiplatz => Gleisdorf Postamt
2270889|Bus 300: Hartberg Busbahnhof => Graz Hauptbahnhof (via Gleisdorf Hauptplatz)
2329251|Intercitybus: Graz Hauptbahnhof => Klagenfurt Hauptbahnhof
2379892|Bus 100: Deutschfeistritz Gemeindeamt => Graz Andreas-Hofer-Platz/Joanneumsviertel (via Peggau-Deutschfeistritz Bahnhof)
2379894|Bus 100: Graz Andreas-Hofer-Platz/Joanneumsviertel => Deutschfeistritz Gemeindeamt
2380044|Bus X20: Rettenegg Abzweigung Feistritzwald => Graz Don Bosco Bahnhof
2414533|Bus 300: Gleisdorf Busbahnhof => Hartberg Busbahnhof
2416798|Bus 356: Hirnsdorf Ort => Pischelsdorf Schule
2420681|Bus 692: Schwarzl-See IBC/Skulpturenpark => Premstätten-Tobelbad Bahnhof (via Unterpremstätten Seniorenpark)
2420700|Bus 692: Schwarzl-See IBC/Skulpturenpark => Premstätten-Tobelbad Bahnhof
2437863|Bus 241: Graz Dürrgrabenweg => Kreuzberg Gasthaus Lampersberger
2446106|Bus 311: Graz Jakominiplatz => Schäffernsteg P+R Pinggau Süd
2446118|Bus 311: Schäffernsteg P+R Pinggau Süd => Graz Jakominiplatz
2446309|Bus 300: Graz Andreas-Hofer-Platz/Joanneumsviertel => Hartberg Busbahnhof
2461822|Bus X31: Graz Hauptbahnhof => Hartberg Busbahnhof
2467768|Bus 355: Gleisdorf Busbahnhof => Hirnsdorf Ort
2467773|Bus 355: Großpesendorf Busbahnhof => Hartensdorf Ort
2467775|Bus 355: Ilz Hauptplatz => Graz Andreas-Hofer-Platz/Joanneumsviertel
2500908|Bus 331: Bad Waltersdorf Hager => Graz Hauptbahnhof
2503356|Bus 360: Brodingberg Abzweigung Eggersdorf => Eggersdorf bei Graz Zentrum
2503360|Bus 360: Eggersdorf bei Graz Zentrum => Brodingberg Abzweigung Eggersdorf
2503362|Bus 360: Eggersdorf bei Graz Zentrum => Schillingsdorf Bundesstraße
2503364|Bus 360: Gleisdorf Busbahnhof => Graz Andreas-Hofer-Platz/Joanneumsviertel
2503368|Bus 360: Graz Andreas-Hofer-Platz/Joanneumsviertel => Gleisdorf Busbahnhof (not via Eggersdorf bei Graz Zentrum)
2503498|Bus 361: Eggersdorf bei Graz Zentrum => Graz Andreas-Hofer-Platz/Joanneumsviertel
2503501|Bus 361: Graz Andreas-Hofer-Platz/Joanneumsviertel => Eggersdorf bei Graz Zentrum
2503503|Bus 361: Schillingsdorf Bundesstraße => Eggersdorf bei Graz Zentrum
2505871|Bus 400: Gleisdorf Bahnhof => Feldbach Busbahnhof
2505874|Bus 400: Gleisdorf Postamt => Feldbach Containerschule BSZ
2505876|Bus 400: Gleisdorf Schule => Feldbach Hauptschule
2513037|Bus 400: Bairisch Kölldorf Gasthaus Legenstein => Gleisdorf Postamt
2513040|Bus 400: Feldbach Busbahnhof => Gleisdorf Schule
2513043|Bus 400: Feldbach Hauptschule => Gleisdorf Schule
2516273|Bus 422: Gleisdorf => Labuch=> Hart bei Nestelbach
2523951|Bus 420: Gleisdorf Bahnhof => Graz Andreas-Hofer-Platz/Joanneumsviertel (via Gleisdorf Schule)
2523954|Bus 420: Gleisdorf Postamt => Graz Andreas-Hofer-Platz/Joanneumsviertel
2526688|Bus 421: Graz Dietrichsteinplatz => Hönigtal Gasthaus Großschedl
2538544|Bus 430: Autal Mühlgangstraße => Graz Jakominiplatz
2538546|Bus 430: Graz Jakominiplatz => Laßnitzhöhe Am Quellenhof
2538548|Bus 430: Graz Schulzentrum St. Peter => Laßnitzhöhe Am Quellenhof
2541097|Bus 431: Birkengreith Kapelle => Graz Jakominiplatz
2541099|Bus 431: Fernitz Erzherzog-Johann-Platz => Hausmannstätten Hauptschule
2541101|Bus 431: Graz Jakominiplatz => Nestelbach bei Graz Parkplatz (via Graz Liebenau/Postamt and Hausmannstätten Hauptschule)
2541103|Bus 431: Graz Jakominiplatz => Nestelbach bei Graz Parkplatz (via Hausmannstätten Hauptschule)
2541105|Bus 431: Hausmannstätten Hauptschule => Kalsdorf bei Graz Bahnhof
2541107|Bus 431: Nestelbach bei Graz Parkplatz => Graz Jakominiplatz (via Hausmannstätten Hauptschule)
2541109|Bus 431: Schemerlhöhe Kreuzung/Kaufhaus Schager => Graz Jakominiplatz
2541136|Bus 431: Eisental Nr. 59 => Hausmannstätten Hauptschule
2541138|Bus 431: Hausmannstätten Hauptschule => Aschenbachtal Winkler
2579977|Bus 64: Puntigam => Stifting
2579979|Bus 64E: Liebenau => Stifting
2579981|Bus 65: Puntigam => Wetzelsdorf
2579983|Bus 65E: Kapellenwirt => Puntigam
2581583|Bus 64: Puntigam => St. Leonhard/LKH
2584355|Bus 440: Brunn bei Nestelbach Schober => Goggitsch Kapelle
2584357|Bus 440: Brunn bei Nestelbach Schaufel => Sankt Marein bei Graz Gewerbepark
